Name,Query Domain/Zone,Maintained By,Primary Use Case,Supports IP (reverse IP) lookup (rDNS),Notes / Adoption Level
rbl.spamhaus.org (legacy),sbl-xbl.spamhaus.org,Spamhaus (legacy),Legacy combined queries,Yes,Use ZEN instead
bl.drmx.org,bl.drmx.org,DRMX,Spam sources,Yes,Lower-profile
bl.spamcannibal.org,bl.spamcannibal.org,SpamCannibal,Spam sources,Yes,Lower-profile
bl.spamcop.net (alias) ,bl.spamcop.net,SpamCop,Spam reporter RBL,Yes,High usage
bl.konstant.no,bl.konstant.no,Konstant,Spam sources,Yes,Lower-profile
honeypot lists (various),honeypot.*.zones,Operators of honeypots,Honeypot identified spammers,Yes,Varies by operator
rbl.mailspike.net,rbl.mailspike.net,Mailspike,Abusive IPs,Yes,Paid/proprietary influence
rbl.suresupport.com,rbl.suresupport.com,SureSupport,General spam lists,Yes,Lower adoption
bl.score.senderscore.com,bl.score.senderscore.com,ReturnPath/Validity,IP reputationscore-based,Yes,Commercial influence
ubl.unsubscore.com,ubl.unsubscore.com,Unsubscore,Unsubscribe abuse,Yes,Specialized
ubl.lashback.com,ubl.lashback.com,Lashback project,Automatic spam sinkhole entries,Yes,Lower-profile
spam.spamrats.com,spam.spamrats.com,SpamRATS,Spam sources,Yes,Moderate use
all.spamrats.com,all.spamrats.com,SpamRATS,Aggregate spamrats zones,Yes,Moderate use
proxy.bl.gweep.ca,proxy.bl.gweep.ca,Gweep,Proxy / open proxies,Yes,Specialized
relays.bl.gweep.ca,relays.bl.gweep.ca,Gweep,Open relays,Yes,Specialized
blocklist.woody.ch,blacklist.woody.ch,Woody/individual,Spam sources,Yes,Lower-profile
rbl.blocklist.de,bl.blocklist.de,blocklist.de,Open proxies/spammers,Yes,European adoption
z.mailspike.net,z.mailspike.net,Mailspike,Spam IPs,Yes,Monitor lists
ubl.unsubscore.com,ubl.unsubscore.com,Unsubscore,Unsubscribe spam tracking,Yes,Specialized
combined.rbl.msrbl.net,combined.rbl.msrbl.net,MSRBL,Combined lists incl. phishing,Yes,Regional / project-based
dnsbl.dnswarden.com,dnsbl.dnswarden.com,DNS Warden,Spam IPs,Yes,Lower-profile
dnsbl.njabl.org,dnsbl.njabl.org,NJABL (historic),Spam and open proxies,Yes (many NJABL zones are defunct),Some NJABL zones are now offline; treat as legacy
dnsbl-1.uceprotect.net,dnsbl-1.uceprotect.net,uceprotect,IP reputation tier 1,Yes,Use with caution (aggregate tiers)
dnsbl-2.uceprotect.net,dnsbl-2.uceprotect.net,uceprotect,IP reputation tier 2,Yes,As above
dnsbl-3.uceprotect.net,dnsbl-3.uceprotect.net,uceprotect,IP reputation tier 3,Yes,As above
bl.rbl.scrolloutf1.com,bl.rbl.scrolloutf1.com,Scrollout F1,Community spam list,Yes,Used with Scrollout F1 installs
psbl.surriel.com,psbl.surriel.com,PSBL,Passive spamtrap list,Yes,Lightweight detection
rbl.suresupport.com,rbl.suresupport.com,SureSupport,General abuse list,Yes,Low-profile
rbl.spamlab.com,rbl.spamlab.com,Spamlab,Heuristic spamlist,Yes,Lower-profile
dnsbl.ahbl.org (legacy),dnsbl.ahbl.org,AHBL (historic),Historic spam list,Yes,AHBL closed — treat as defunct
blackholes.mail-abuse.org,blackholes.mail-abuse.org,Mail-abuse.org,Bogons & abuse,Yes,Used historically
list.dsbl.org (defunct),list.dsbl.org,DSBL (defunct),Historic list — many entries stale,Yes/No,DSBL offline/deprecated
bl.mailspike.net,bl.mailspike.net,Mailspike,Detected spam IPs,Yes,Moderate use
rbl.suresupport.com,rbl.suresupport.com,SureSupport,General spam RBL,Yes,Lower adoption
db.wpbl.info,db.wpbl.info,WPBL project,Wordpress comment spam domains (example),No/Yes,Domain vs IP depends on zone
rbl.0spam.org,rbl.0spam.org,0Spam,Spam sources,Yes,Lower-profile
wormrbl.imp.ch,wormrbl.imp.ch,Imp/SpamRBL,Malware-involved IPs,Yes,Security-oriented
spamhaus_css,css.spamhaus.org,Spamhaus,Spamhaus CSS (child sexual content),Yes,Specialty list (sensitive)
